c ,From,To,Modes,length,time,Type,Lanes,VDF,Data1,Data2,Data3
,207562,552792,apb,0.139464,0.223740,107,2.0,31,37.400,4400.0,0.0000
,207563,207550,apb,0.262548,0.556639,107,1.0,21,28.300,2200.0,0.0000
,207563,207562,apb,0.278992,0.691716,107,1.0,25,24.200,2200.0,0.0000
,207563,552785,apb,0.123696,0.192773,107,2.0,27,38.500,4400.0,0.0000
,207563,552786,apb,0.100681,0.156905,107,2.0,27,38.500,4400.0,0.0000
,207564,207568,apb,0.195914,0.485737,107,1.0,25,24.200,2200.0,0.0000
,207564,207572,apb,0.232004,0.241015,107,2.0,15,57.900,4400.0,0.0000
,207564,208370,apb,0.053016,0.049832,107,2.0,15,63.900,4400.0,0.0000
,207564,208371,apb,0.197403,0.307641,107,2.0,27,38.500,4400.0,0.0000
,207565,207844,apb,0.032488,0.045544,107,3.0,23,42.800,6600.0,0.0000
,207565,207845,apb,0.039180,0.054925,107,3.0,23,42.800,6600.0,0.0000
,207565,208371,apb,0.081471,0.126968,107,2.0,27,38.500,4400.0,0.0000
,207565,552833,apb,0.042341,0.065986,107,2.0,27,38.500,4400.0,0.0000
,207566,207543,apb,0.080431,0.129380,107,2.0,31,37.300,4400.0,0.0000
,207566,208373,apb,0.067796,0.109056,107,2.0,31,37.300,4400.0,0.0000
,207566,552786,apb,0.116334,0.181300,107,2.0,27,38.500,4400.0,0.0000
,207568,207564,apb,0.195914,0.485737,107,1.0,25,24.200,2200.0,0.0000
,207568,207569,apb,0.120514,0.298795,107,1.0,25,24.200,2200.0,0.0000
,207569,207568,apb,0.120514,0.298795,107,1.0,25,24.200,2200.0,0.0000
,207569,207570,apb,0.068088,0.168813,107,1.0,25,24.200,2200.0,0.0000
,207570,207569,apb,0.068088,0.168813,107,1.0,25,24.200,2200.0,0.0000
,207570,208351,apb,0.074464,0.116048,107,3.0,27,38.500,6600.0,0.0000
,207570,208493,apb,0.035779,0.055759,107,3.0,27,38.500,6600.0,0.0000
,207571,207878,apb,0.053551,0.083456,107,3.0,27,38.500,6600.0,0.0000
,207571,208492,apb,0.096556,0.150477,107,3.0,27,38.500,6600.0,0.0000
,207572,207564,apb,0.232004,0.218069,107,2.0,15,63.900,4400.0,0.0000
,207572,207579,apb,0.092760,0.096363,107,2.0,15,57.900,4400.0,0.0000
,207573,207575,apb,0.388465,0.624877,107,2.0,31,37.300,4400.0,0.0000
,207573,207576,apb,0.313025,0.503525,107,2.0,31,37.300,4400.0,0.0000
,207574,207778,apb,0.133307,0.214438,107,3.0,31,37.300,6600.0,0.0000
,207575,207573,apb,0.388465,0.624877,107,2.0,31,37.300,4400.0,0.0000
,207575,207603,apb,0.119458,0.113289,107,3.0,15,63.300,6600.0,0.0000
,207575,207840,apb,0.041287,0.042792,107,3.0,15,57.900,6600.0,0.0000
,207576,207573,apb,0.313025,0.503525,107,2.0,31,37.300,4400.0,0.0000
,207576,207577,apb,0.098592,0.158593,107,2.0,31,37.300,4400.0,0.0000
,207576,207586,apb,0.140015,0.218205,107,3.0,27,38.500,6600.0,0.0000
,207576,207878,apb,0.038387,0.059824,107,3.0,27,38.500,6600.0,0.0000
,207577,207576,apb,0.098592,0.158593,107,2.0,31,37.300,4400.0,0.0000
,207577,207578,apb,0.113461,0.182023,107,2.0,31,37.400,4400.0,0.0000
,207578,207577,apb,0.113461,0.182023,107,2.0,31,37.400,4400.0,0.0000
,207578,207579,apb,0.092762,0.148816,107,2.0,31,37.400,4400.0,0.0000
,207579,207572,apb,0.092760,0.087188,107,2.0,15,63.900,4400.0,0.0000
,207579,207578,apb,0.092762,0.148816,107,2.0,31,37.400,4400.0,0.0000
,207579,207580,apb,0.132804,0.213056,107,2.0,31,37.400,4400.0,0.0000
,207579,208354,apb,0.088169,0.091601,107,2.0,15,57.900,4400.0,0.0000
,207580,207579,apb,0.132804,0.213057,107,2.0,31,37.400,4400.0,0.0000
,207580,207585,apb,0.434945,1.078376,107,1.0,25,24.200,2200.0,0.0000
,207580,552789,apb,0.046590,0.074744,107,2.0,31,37.400,4400.0,0.0000
,207581,207841,apb,0.042486,0.059560,107,3.0,23,42.800,6600.0,0.0000
,207581,207842,apb,0.045480,0.063757,107,3.0,23,42.800,6600.0,0.0000
,207581,208353,apb,0.040387,0.064793,107,2.0,31,37.400,4400.0,0.0000
,207581,552784,apb,0.124097,0.199621,107,2.0,31,37.300,4400.0,0.0000
,207582,207539,apb,0.289171,0.403626,107,3.0,23,43.000,6600.0,0.0000
,207582,207541,apb,0.247280,0.396706,107,2.0,31,37.400,4400.0,0.0000
,207582,207547,apb,0.145090,0.233553,107,2.0,31,37.300,4400.0,0.0000
,207582,207552,apb,0.332917,0.440327,107,3.0,23,45.400,6600.0,0.0000
,207583,207507,apb,0.272381,0.436975,107,2.0,31,37.400,4400.0,0.0000
,207583,207535,apb,0.262159,0.421703,107,2.0,31,37.300,4400.0,0.0000
,207583,207584,apb,0.298126,0.478277,107,2.0,31,37.400,4400.0,0.0000
,207583,208402,apb,0.037191,0.059825,107,2.0,31,37.300,4400.0,0.0000
,207584,207508,apb,0.273258,0.425857,107,2.0,27,38.500,4400.0,0.0000
,207584,207536,apb,0.262098,0.408464,107,2.0,27,38.500,4400.0,0.0000
,207584,207583,apb,0.298126,0.478277,107,2.0,31,37.400,4400.0,0.0000
,207585,207580,apb,0.434945,1.078376,107,1.0,25,24.200,2200.0,0.0000
,207585,207838,apb,0.099767,0.103385,107,3.0,15,57.900,6600.0,0.0000
,207585,207960,apb,0.111454,0.115497,107,3.0,15,57.900,6600.0,0.0000
,207586,207576,apb,0.140015,0.218205,107,3.0,27,38.500,6600.0,0.0000
,207586,207590,apb,0.137906,0.214918,107,3.0,27,38.500,6600.0,0.0000
,207589,207593,apb,0.138607,0.143946,107,2.0,15,57.900,4400.0,0.0000
,207589,208354,apb,0.052673,0.049511,107,2.0,15,63.900,4400.0,0.0000
,207590,207586,apb,0.137906,0.214918,107,3.0,27,38.500,6600.0,0.0000
,207590,209361,apb,0.020432,0.031842,107,3.0,27,38.500,6600.0,0.0000
,207593,207589,apb,0.138607,0.130260,107,2.0,15,63.900,4400.0,0.0000
,207593,207606,apb,0.155345,0.161760,107,2.0,15,57.900,4400.0,0.0000
,207594,207596,apb,0.113975,0.118155,107,3.0,15,57.900,6600.0,0.0000
,207594,209680,apb,0.064135,0.066473,107,3.0,15,57.900,6600.0,0.0000
,207596,207594,apb,0.113975,0.118130,107,3.0,15,57.900,6600.0,0.0000
,207596,207605,apb,0.099192,0.102829,107,3.0,15,57.900,6600.0,0.0000
,207597,207599,apb,0.114487,0.184161,107,2.0,31,37.300,4400.0,0.0000
,207597,207601,apb,0.096210,0.154348,107,2.0,31,37.400,4400.0,0.0000
,207598,207601,apb,0.104953,0.163563,107,3.0,27,38.500,6600.0,0.0000
,207598,207959,apb,0.042656,0.060795,107,3.0,27,42.100,6600.0,0.0000
,207599,207597,apb,0.114487,0.184161,107,2.0,31,37.300,4400.0,0.0000
,207599,207602,apb,0.093489,0.150384,107,2.0,31,37.300,4400.0,0.0000
,207600,207602,apb,0.103961,0.107769,107,2.0,15,57.900,4400.0,0.0000
,207600,207606,apb,0.079883,0.075023,107,2.0,15,63.900,4400.0,0.0000
,207601,207597,apb,0.096210,0.154348,107,2.0,31,37.400,4400.0,0.0000
,207601,207598,apb,0.104953,0.149583,107,3.0,27,42.100,6600.0,0.0000
,207601,207948,apb,0.135036,0.210446,107,3.0,27,38.500,6600.0,0.0000
,207602,207419,apb,0.174527,0.180920,107,2.0,15,57.900,4400.0,0.0000
,207602,207599,apb,0.093489,0.150384,107,2.0,31,37.300,4400.0,0.0000
,207602,207600,apb,0.103961,0.097637,107,2.0,15,63.900,4400.0,0.0000
,207603,207417,apb,0.374444,0.367957,103,3.0,15,61.100,6600.0,0.0000
,207603,207575,apb,0.119458,0.123812,107,3.0,15,57.900,6600.0,0.0000
,207603,207877,apb,0.034223,0.036540,103,3.0,15,56.200,6600.0,0.0000
,207604,208356,apb,0.015919,0.016499,107,3.0,15,57.900,6600.0,0.0000
,207604,208357,apb,0.025427,0.024114,107,3.0,15,63.300,6600.0,0.0000
,207605,207596,apb,0.099192,0.102808,107,3.0,15,57.900,6600.0,0.0000
,207605,207839,apb,0.036063,0.034201,107,3.0,15,63.300,6600.0,0.0000
,207605,207959,apb,0.036342,0.056637,107,3.0,27,38.500,6600.0,0.0000
,207605,209361,apb,0.136933,0.213402,107,3.0,27,38.500,6600.0,0.0000
,207606,207593,apb,0.155345,0.146180,107,2.0,15,63.900,4400.0,0.0000
,207606,207600,apb,0.079883,0.082809,107,2.0,15,57.900,4400.0,0.0000
,207606,207838,apb,0.034596,0.035851,107,3.0,15,57.900,6600.0,0.0000
,207606,209680,apb,0.027936,0.028960,107,3.0,15,57.900,6600.0,0.0000
,207607,207837,apb,0.045340,0.063561,107,3.0,23,42.800,6600.0,0.0000
,207607,207849,apb,0.317122,0.444578,107,3.0,23,42.800,6600.0,0.0000
,207607,207960,apb,0.033434,0.034647,107,3.0,15,57.900,6600.0,0.0000
,207608,207609,apb,0.210338,0.530264,107,1.0,29,23.800,2200.0,0.0000
,207608,208097,apb,0.044367,0.111382,107,1.0,29,23.900,2200.0,0.0000
,207609,207419,apb,0.081834,0.122751,107,1.0,13,40.000,2200.0,0.0000
,207609,207608,apb,0.210338,0.530264,107,1.0,29,23.800,2200.0,0.0000
,207609,207613,apb,0.206760,0.341752,107,1.0,13,36.300,2200.0,0.0000
,207610,207418,apb,0.082402,0.117457,107,3.0,27,42.100,6600.0,0.0000
,207610,207876,apb,0.034435,0.053693,107,3.0,27,38.500,6600.0,0.0000
,207610,208097,apb,0.041779,0.104885,107,1.0,29,23.900,2200.0,0.0000
,207611,207619,apb,0.391525,0.418175,103,3.0,15,56.200,6600.0,0.0000
,207611,207627,apb,0.170417,0.265586,107,3.0,27,38.500,6600.0,0.0000
,207611,207830,apb,0.062481,0.061402,103,3.0,15,61.100,6600.0,0.0000
,207612,207491,apb,0.042595,0.059716,107,4.0,23,42.800,8800.0,0.0000
,207612,207775,apb,0.026758,0.037354,107,4.0,23,43.000,8800.0,0.0000
,207612,208370,apb,0.180597,0.187611,107,2.0,15,57.900,4400.0,0.0000
,207613,207609,apb,0.206760,0.310140,107,1.0,13,40.000,2200.0,0.0000
,207613,207614,apb,0.240378,0.603459,107,1.0,29,23.900,2200.0,0.0000
,207613,552795,apb,0.356508,0.883904,107,1.0,25,24.200,2200.0,0.0000
,207614,207613,apb,0.240378,0.548391,107,1.0,29,26.300,2200.0,0.0000
,207614,207874,apb,0.033646,0.052463,107,3.0,27,38.500,6600.0,0.0000
,207614,207875,apb,0.033008,0.047050,107,3.0,27,42.100,6600.0,0.0000
,207614,208099,apb,0.222158,0.557719,107,1.0,29,23.900,2200.0,0.0000
,207615,207616,apb,0.133438,0.334991,107,1.0,29,23.900,2200.0,0.0000
,207615,207874,apb,0.083047,0.129445,107,3.0,27,38.500,6600.0,0.0000
,207615,209612,apb,0.024746,0.038586,107,3.0,27,38.500,6600.0,0.0000
,207616,207615,apb,0.133438,0.334991,107,1.0,29,23.900,2200.0,0.0000
,207616,208855,apb,0.415141,1.029275,107,1.0,25,24.200,2200.0,0.0000
,207617,207621,apb,0.031397,0.044016,107,2.0,23,42.800,4400.0,0.0000
,207617,207622,apb,0.167145,0.234319,107,2.0,23,42.800,4400.0,0.0000
,207617,208855,apb,0.069744,0.175825,107,1.0,29,23.800,2200.0,0.0000
,207618,208237,apb,0.279946,0.694081,107,1.0,25,24.200,2200.0,0.0000
,207618,209612,apb,0.094436,0.147174,107,3.0,27,38.500,6600.0,0.0000
,207618,552832,apb,0.163246,0.254503,107,3.0,27,38.500,6600.0,0.0000
,207619,207611,apb,0.391525,0.384775,103,3.0,15,61.100,6600.0,0.0000
,207619,208066,apb,0.136214,0.191110,107,2.0,23,42.800,4400.0,0.0000
,207619,208335,apb,0.175814,0.187733,103,3.0,15,56.200,6600.0,0.0000
,207620,207621,apb,0.249605,0.349919,107,2.0,23,42.800,4400.0,0.0000
,207620,207873,apb,0.036853,0.057436,107,3.0,27,38.500,6600.0,0.0000
,207620,208066,apb,0.241996,0.339429,107,2.0,23,42.800,4400.0,0.0000
,207620,552832,apb,0.047961,0.074769,107,3.0,27,38.500,6600.0,0.0000
,207621,207617,apb,0.031397,0.044015,107,2.0,23,42.800,4400.0,0.0000
,207621,207620,apb,0.249605,0.349926,107,2.0,23,42.800,4400.0,0.0000
,207621,207625,apb,0.304627,0.755274,107,1.0,25,24.200,2200.0,0.0000
,207622,207617,apb,0.167145,0.234324,107,2.0,23,42.800,4400.0,0.0000
,207622,207832,apb,0.045314,0.063527,107,3.0,23,42.800,6600.0,0.0000
,207622,207850,apb,0.043366,0.060797,107,3.0,23,42.800,6600.0,0.0000
,207622,208020,apb,0.499690,1.238901,107,1.0,25,24.200,2200.0,0.0000
,207623,207626,apb,0.183973,0.286711,107,3.0,27,38.500,6600.0,0.0000
,207623,208886,apb,0.040452,0.063046,107,3.0,27,38.500,6600.0,0.0000
,207623,208899,apb,0.047286,0.073693,107,3.0,27,38.500,6600.0,0.0000
,207623,208982,apb,0.123979,0.311244,107,1.0,29,23.900,2200.0,0.0000
,207624,207625,apb,0.192933,0.478346,107,1.0,25,24.200,2200.0,0.0000
,207624,208101,apb,0.179056,0.443940,107,1.0,25,24.200,2200.0,0.0000
,207624,208234,apb,0.042922,0.066892,107,3.0,27,38.500,6600.0,0.0000
,207624,208899,apb,0.122991,0.191685,107,3.0,27,38.500,6600.0,0.0000
,207625,207621,apb,0.304627,0.755274,107,1.0,25,24.200,2200.0,0.0000
,207625,207624,apb,0.192933,0.478346,107,1.0,25,24.200,2200.0,0.0000
,207625,207626,apb,0.184710,0.457959,107,1.0,25,24.200,2200.0,0.0000
,207626,207623,apb,0.183973,0.286711,107,3.0,27,38.500,6600.0,0.0000
,207626,207625,apb,0.184710,0.457959,107,1.0,25,24.200,2200.0,0.0000
,207626,207628,apb,0.239367,0.373039,107,3.0,27,38.500,6600.0,0.0000
,207627,207611,apb,0.170417,0.265585,107,3.0,27,38.500,6600.0,0.0000
,207627,208101,apb,0.159936,0.396536,107,1.0,25,24.200,2200.0,0.0000
,207627,208886,apb,0.142357,0.221856,107,3.0,27,38.500,6600.0,0.0000
,207628,207626,apb,0.239367,0.373039,107,3.0,27,38.500,6600.0,0.0000
,207628,207633,apb,0.354207,0.496578,107,3.0,23,42.800,6600.0,0.0000
,207628,207831,apb,0.047580,0.066705,107,3.0,23,42.800,6600.0,0.0000
,207629,207504,apb,0.255944,0.410605,107,2.0,31,37.400,4400.0,0.0000
,207629,208392,apb,0.124991,0.194791,107,2.0,27,38.500,4400.0,0.0000
,207629,552787,apb,0.175956,0.274217,107,2.0,27,38.500,4400.0,0.0000
,207630,207847,apb,0.036753,0.051523,107,3.0,23,42.800,6600.0,0.0000
,207630,207848,apb,0.037245,0.058044,107,3.0,27,38.500,6600.0,0.0000
,207630,208393,apb,0.041607,0.064842,107,3.0,27,38.500,6600.0,0.0000
,207631,207504,apb,0.150489,0.241426,107,2.0,31,37.400,4400.0,0.0000
,207631,207507,apb,0.151785,0.243505,107,2.0,31,37.400,4400.0,0.0000
,207631,207897,apb,0.037976,0.053237,107,3.0,23,42.800,6600.0,0.0000
,207631,207898,apb,0.036085,0.050586,107,3.0,23,42.800,6600.0,0.0000
,207632,208031,apb,0.151196,0.242560,107,2.0,31,37.400,4400.0,0.0000
,207632,208935,apb,0.065716,0.105709,107,2.0,31,37.300,4400.0,0.0000
,207633,207628,apb,0.354207,0.496586,107,3.0,23,42.800,6600.0,0.0000
,207633,207653,apb,0.563282,0.789694,107,2.0,23,42.800,4400.0,0.0000
,207633,208324,apb,0.140743,0.233034,107,1.0,13,36.300,2200.0,0.0000
,207634,207422,apb,0.019558,0.032432,107,1.0,13,36.200,2200.0,0.0000
,207634,207544,apb,0.119738,0.198481,107,1.0,13,36.200,2200.0,0.0000
,207635,207406,apb,0.122917,0.261526,107,1.0,21,28.200,2200.0,0.0000
,207635,207424,apb,0.271429,0.575468,107,1.0,21,28.300,2200.0,0.0000
,207635,207893,apb,0.033354,0.033832,106,2.0,15,59.200,4400.0,0.0000
,207635,208346,apb,1.049817,1.036881,106,2.0,15,60.800,4400.0,0.0000
,207636,207334,apb,0.160636,0.404965,107,1.0,29,23.800,2200.0,0.0000
,207636,207335,apb,0.141209,0.354500,107,1.0,29,23.900,2200.0,0.0000
,207636,207642,apb,0.048885,0.088882,107,1.0,17,33.000,2200.0,0.0000
,207636,207643,apb,0.059437,0.108067,107,1.0,17,33.000,2200.0,0.0000
,207637,207386,apb,0.074613,0.188100,107,1.0,29,23.800,2200.0,0.0000
,207637,207638,apb,0.140494,0.352705,107,1.0,29,23.900,2200.0,0.0000
,207637,207752,apb,0.098455,0.248206,107,1.0,29,23.800,2200.0,0.0000
,207638,207333,apb,0.149187,0.376102,107,1.0,29,23.800,2200.0,0.0000
,207638,207385,apb,0.076757,0.080683,107,2.0,19,57.100,4400.0,0.0000
,207638,207637,apb,0.140494,0.352705,107,1.0,29,23.900,2200.0,0.0000
,207638,207753,apb,0.099348,0.116205,107,2.0,19,51.300,4400.0,0.0000
,207639,207640,apb,0.133034,0.241149,107,1.0,17,33.100,2200.0,0.0000
,207639,207754,apb,0.160120,0.175971,107,3.0,19,54.600,6600.0,0.0000
,207639,207817,apb,0.107921,0.129536,107,3.0,19,50.000,6600.0,0.0000
,207640,207337,apb,0.094583,0.238445,107,1.0,29,23.800,2200.0,0.0000
,207640,207639,apb,0.133034,0.241149,107,1.0,17,33.100,2200.0,0.0000
,207640,207641,apb,0.138806,0.251612,107,1.0,17,33.100,2200.0,0.0000
,207640,207752,apb,0.160935,0.405719,107,1.0,29,23.800,2200.0,0.0000
,207641,207336,apb,0.092741,0.105595,107,2.0,19,52.700,4400.0,0.0000
,207641,207640,apb,0.138806,0.251612,107,1.0,17,33.100,2200.0,0.0000
,207641,207642,apb,0.150311,0.273293,107,1.0,17,33.000,2200.0,0.0000
,207641,207753,apb,0.160847,0.176177,107,2.0,19,54.800,4400.0,0.0000
,207642,207335,apb,0.095564,0.114677,107,2.0,19,50.000,4400.0,0.0000
,207642,207636,apb,0.048885,0.088882,107,1.0,17,33.000,2200.0,0.0000
,207642,207641,apb,0.150311,0.273293,107,1.0,17,33.000,2200.0,0.0000
,207642,207751,apb,0.160521,0.181044,107,2.0,19,53.200,4400.0,0.0000
,207643,207463,apb,0.161617,0.207211,107,4.0,23,46.800,8800.0,0.0000
,207643,207636,apb,0.059437,0.108067,107,1.0,17,33.000,2200.0,0.0000
,207643,207755,apb,0.161850,0.207505,107,4.0,23,46.800,8800.0,0.0000
,207644,207720,apb,0.101353,0.118542,107,2.0,19,51.300,4400.0,0.0000
,207644,208721,apb,0.042013,0.105472,107,1.0,29,23.900,2200.0,0.0000
,207644,552898,apb,0.044143,0.051629,107,2.0,19,51.300,4400.0,0.0000
,207645,207380,apb,0.071390,0.110682,107,2.0,27,38.700,4400.0,0.0000
,207645,207747,apb,0.101763,0.154186,107,2.0,27,39.600,4400.0,0.0000
,207646,207647,apb,0.318184,0.788886,107,1.0,25,24.200,2200.0,0.0000
,207646,208105,apb,0.138594,0.293839,107,1.0,21,28.300,2200.0,0.0000
,207646,208170,apb,0.053555,0.113544,107,1.0,21,28.300,2200.0,0.0000
,207647,207380,apb,0.142684,0.222365,107,2.0,27,38.500,4400.0,0.0000
,207647,207646,apb,0.318184,0.788886,107,1.0,25,24.200,2200.0,0.0000
,207647,208108,apb,0.140682,0.219256,107,2.0,27,38.500,4400.0,0.0000
,207647,208552,apb,0.243331,0.610873,107,1.0,29,23.900,2200.0,0.0000
,207648,208058,apb,0.086864,0.218069,107,1.0,29,23.900,2200.0,0.0000
,207648,208110,apb,0.146149,0.310955,107,1.0,21,28.200,2200.0,0.0000
,207648,208716,apb,0.076786,0.107644,107,2.0,23,42.800,4400.0,0.0000
,207648,208717,apb,0.027763,0.069991,107,1.0,29,23.800,2200.0,0.0000
,207649,207681,apb,0.143165,0.223126,107,2.0,27,38.500,4400.0,0.0000
,207649,208109,apb,0.088828,0.223936,107,1.0,29,23.800,2200.0,0.0000
,207649,208111,apb,0.104396,0.148800,107,2.0,27,42.100,4400.0,0.0000
,207650,207749,apb,0.136822,0.157004,107,2.0,19,52.300,4400.0,0.0000
,207650,208718,apb,0.127922,0.137067,107,2.0,19,56.000,4400.0,0.0000
,207651,207892,apb,0.104331,0.125203,107,3.0,19,50.000,6600.0,0.0000
,207651,208113,apb,0.158584,0.165805,107,3.0,19,57.400,6600.0,0.0000
,207652,207748,apb,0.265713,0.398569,107,2.0,23,40.000,4400.0,0.0000
,207652,207749,apb,0.157198,0.220371,107,2.0,23,42.800,4400.0,0.0000
,207653,207633,apb,0.563282,0.789655,107,2.0,23,42.800,4400.0,0.0000
,207653,207654,apb,0.080473,0.102300,107,3.0,23,47.200,6600.0,0.0000
,207653,208321,apb,0.190108,0.314236,107,1.0,13,36.300,2200.0,0.0000
,207654,207653,apb,0.080473,0.112815,107,3.0,23,42.800,6600.0,0.0000
,207654,207912,apb,0.983807,1.379190,107,3.0,23,42.800,6600.0,0.0000
,207654,208148,apb,0.054326,0.123994,107,1.0,29,26.300,2200.0,0.0000
,207655,207338,apb,0.131432,0.184250,107,2.0,23,42.800,4400.0,0.0000
,207655,207661,apb,0.116354,0.163113,107,2.0,23,42.800,4400.0,0.0000
,207656,207338,apb,0.122529,0.307856,107,1.0,29,23.900,2200.0,0.0000
,207656,207659,apb,0.110928,0.281748,107,1.0,29,23.800,2200.0,0.0000
,207657,207354,apb,0.181166,0.300275,107,1.0,13,36.200,2200.0,0.0000
,207657,207355,apb,0.116957,0.289976,107,1.0,25,24.200,2200.0,0.0000
,207657,208144,apb,0.095465,0.236690,107,1.0,25,24.200,2200.0,0.0000
,207658,207659,apb,0.064666,0.162474,107,1.0,29,23.900,2200.0,0.0000
,207658,208133,apb,0.329223,0.735416,107,1.0,25,27.100,2200.0,0.0000
,207658,208511,apb,0.166298,0.418199,107,1.0,29,23.900,2200.0,0.0000
,207659,207656,apb,0.110928,0.279879,107,1.0,29,23.800,2200.0,0.0000
,207659,207658,apb,0.064666,0.163559,107,1.0,29,23.900,2200.0,0.0000
,207661,207355,apb,0.226022,0.567419,107,1.0,29,23.900,2200.0,0.0000
,207661,207655,apb,0.116354,0.163113,107,2.0,23,42.800,4400.0,0.0000
,207661,208127,apb,0.068973,0.171007,107,1.0,25,24.200,2200.0,0.0000
,207661,208286,apb,0.294901,0.413413,107,2.0,23,42.800,4400.0,0.0000
,207662,207977,apb,0.026920,0.044496,107,1.0,13,36.300,2200.0,0.0000
,207662,208143,apb,0.062090,0.102912,107,1.0,13,36.200,2200.0,0.0000
,207662,208213,apb,0.030657,0.049183,106,3.0,31,37.400,6600.0,0.0000
,207663,208044,apb,0.123439,0.306047,107,1.0,25,24.200,2200.0,0.0000
,207663,208697,apb,0.088558,0.094586,103,3.0,15,56.200,6600.0,0.0000
,207663,209038,apb,0.125822,0.123649,103,3.0,15,61.100,6600.0,0.0000
,207664,208314,apb,0.053708,0.133160,107,1.0,25,24.200,2200.0,0.0000
,207664,208316,apb,0.067168,0.166532,107,1.0,25,24.200,2200.0,0.0000
,207664,208319,apb,0.191520,0.480803,107,1.0,29,23.900,2200.0,0.0000
,207665,207979,apb,0.249096,0.349493,106,3.0,23,42.800,6600.0,0.0000
,207665,208319,apb,0.209191,0.527372,107,1.0,29,23.800,2200.0,0.0000
,207665,208698,apb,0.125093,0.122853,103,3.0,15,61.100,6600.0,0.0000
,207665,209038,apb,0.123662,0.132080,103,3.0,15,56.200,6600.0,0.0000
,207666,207338,apb,0.063491,0.089058,107,2.0,23,42.800,4400.0,0.0000
,207666,207962,apb,0.067910,0.113686,106,1.0,13,36.300,2200.0,0.0000
,207666,207979,apb,0.034138,0.047860,106,2.0,23,42.800,4400.0,0.0000
,207669,207529,apb,0.474413,0.784154,107,1.0,13,36.300,2200.0,0.0000
,207669,207670,apb,0.025285,0.043346,107,1.0,13,35.000,2200.0,0.0000
,207670,207416,apb,0.285306,0.489096,107,1.0,13,35.000,2200.0,0.0000
,207670,207669,apb,0.025285,0.041793,107,1.0,13,36.300,2200.0,0.0000
,207671,207911,apb,0.008645,0.008174,107,3.0,11,63.500,6600.0,0.0000
,207671,209180,apb,0.262353,0.262576,107,3.0,11,60.000,6600.0,0.0000
,207672,207802,apb,0.034885,0.040807,107,3.0,19,51.300,6600.0,0.0000
,207672,207803,apb,0.036710,0.042942,107,3.0,19,51.300,6600.0,0.0000
,207672,208641,apb,0.028493,0.039301,107,3.0,23,43.500,6600.0,0.0000
,207672,231923,apb,0.139204,0.183970,107,2.0,23,45.400,4400.0,0.0000
,207677,207813,apb,0.037623,0.039333,107,3.0,19,57.400,6600.0,0.0000
,207677,207814,apb,0.026659,0.031991,107,3.0,19,50.000,6600.0,0.0000
,207677,207853,apb,0.042276,0.059265,107,3.0,23,42.800,6600.0,0.0000
,207678,207679,apb,0.108196,0.151681,107,3.0,23,42.800,6600.0,0.0000
,207678,207724,apb,0.344624,0.369240,107,2.0,19,56.000,4400.0,0.0000
,207678,207872,apb,0.028710,0.040248,107,3.0,23,42.800,6600.0,0.0000
,207678,208112,apb,0.127331,0.146113,107,2.0,19,52.300,4400.0,0.0000
,207679,207678,apb,0.108196,0.161086,107,3.0,23,40.300,6600.0,0.0000
,207679,207680,apb,0.107466,0.150653,107,3.0,23,42.800,6600.0,0.0000
,207679,207682,apb,0.314740,0.441228,107,4.0,23,42.800,8800.0,0.0000
,207679,207750,apb,0.426374,0.534087,107,4.0,23,47.900,8800.0,0.0000
,207680,207679,apb,0.107466,0.161199,107,3.0,23,40.000,6600.0,0.0000
,207680,208307,apb,0.096897,0.135837,107,3.0,23,42.800,6600.0,0.0000
,207680,208687,apb,0.229256,0.321387,107,2.0,23,42.800,4400.0,0.0000
,207680,208716,apb,0.067645,0.094829,107,2.0,23,42.800,4400.0,0.0000
,207681,207649,apb,0.143165,0.204059,107,2.0,27,42.100,4400.0,0.0000
,207681,207861,apb,0.031688,0.044422,107,3.0,23,42.800,6600.0,0.0000
,207681,207953,apb,0.033801,0.050701,107,3.0,23,40.000,6600.0,0.0000
,207681,208531,apb,0.124975,0.194780,107,2.0,27,38.500,4400.0,0.0000
,207682,207679,apb,0.314740,0.433134,107,4.0,23,43.600,8800.0,0.0000
,207682,207685,apb,0.063677,0.135495,107,1.0,21,28.200,2200.0,0.0000
,207682,207687,apb,0.111931,0.156914,107,4.0,23,42.800,8800.0,0.0000
,207682,208541,apb,0.061858,0.155945,107,1.0,29,23.800,2200.0,0.0000
,207683,207686,apb,0.102826,0.144149,107,2.0,23,42.800,4400.0,0.0000
,207683,208541,apb,0.045646,0.114592,107,1.0,29,23.900,2200.0,0.0000
,207683,208687,apb,0.053843,0.075481,107,2.0,23,42.800,4400.0,0.0000
,207684,207685,apb,0.119907,0.302287,107,1.0,29,23.800,2200.0,0.0000
,207684,207687,apb,0.063413,0.159196,107,1.0,29,23.900,2200.0,0.0000
,207684,207688,apb,0.043146,0.108771,107,1.0,29,23.800,2200.0,0.0000
,207685,207682,apb,0.063677,0.135483,107,1.0,21,28.200,2200.0,0.0000
,207685,207684,apb,0.119907,0.302287,107,1.0,29,23.800,2200.0,0.0000
,207685,207724,apb,0.044401,0.094145,107,1.0,21,28.300,2200.0,0.0000
,207686,207683,apb,0.102826,0.144149,107,2.0,23,42.800,4400.0,0.0000
,207686,208540,apb,0.047265,0.118657,107,1.0,29,23.900,2200.0,0.0000
,207686,208549,apb,0.108180,0.151654,107,2.0,23,42.800,4400.0,0.0000
